Returned,Order ID
Yes,US2012-4420
Yes,US2014-860
Yes,US2011-1040
Yes,US2014-5600
Yes,US2012-1380
Yes,US2013-510
Yes,US2013-6150
Yes,US2011-1400
Yes,US2014-600
Yes,US2011-1220
Yes,US2011-6950
Yes,US2012-3890
Yes,US2014-50
Yes,US2013-5940
Yes,US2011-7280
Yes,US2012-3070
Yes,US2013-6190
Yes,US2011-9020
Yes,US2011-9500
Yes,US2012-6570
Yes,US2013-5360
Yes,US2012-1140
Yes,US2013-4590
Yes,US2011-7400
Yes,US2012-8180
Yes,US2012-5670
Yes,US2014-9190
Yes,US2012-6620
Yes,US2014-6150
Yes,US2011-2100
Yes,US2013-2620
Yes,US2013-6370
Yes,US2013-5080
Yes,US2011-9960
Yes,US2014-8240
Yes,US2014-6810
Yes,US2011-2890
Yes,US2013-4830
Yes,US2012-5400
Yes,US2014-4940
Yes,US2013-3860
Yes,US2013-2730
Yes,US2013-5920
Yes,US2014-1650
Yes,US2011-2710
Yes,US2014-8480
Yes,US2014-2150
Yes,US2014-4460
Yes,US2014-1870
Yes,US2013-4510
Yes,US2014-8630
Yes,US2013-2890
Yes,US2014-3070
Yes,US2012-4340
Yes,US2011-8930
Yes,US2011-3850
Yes,US2013-4220
Yes,US2012-5200
Yes,US2011-8660
Yes,US2014-1330
Yes,US2013-6830
Yes,US2014-7640
Yes,US2011-550
Yes,US2012-4840
Yes,US2013-8800
Yes,US2011-4250
Yes,US2011-5780
Yes,US2012-6130
Yes,US2014-8100
Yes,US2012-5350
Yes,US2011-4180
Yes,US2011-4380
Yes,US2014-8000
Yes,US2011-6120
Yes,US2011-8880
Yes,US2011-1840
Yes,US2014-9900
Yes,US2012-8080
Yes,US2013-7730
Yes,US2012-8670
Yes,US2014-4640
Yes,US2011-7860
Yes,US2011-8450
Yes,US2011-4810
Yes,US2012-7680
Yes,US2014-8780
Yes,US2014-4470
Yes,US2014-5590
Yes,US2011-6360
Yes,US2011-2760
Yes,US2013-4710
Yes,US2014-7320
Yes,US2014-6680
Yes,US2011-9750
Yes,US2011-7700
Yes,US2014-4250
Yes,US2013-1620
Yes,US2013-8960
Yes,US2013-7760
Yes,US2011-9920
Yes,US2014-1820
Yes,US2012-560
Yes,US2011-4120
Yes,US2012-3040
Yes,US2011-4210
Yes,US2011-1360
Yes,US2012-90
Yes,US2012-4230
Yes,US2013-1050
Yes,US2014-4230
Yes,US2014-8560
Yes,US2013-8600
Yes,US2014-2190
Yes,US2013-5260
Yes,US2014-950
Yes,US2013-3990
Yes,US2014-4140
Yes,US2011-2200
Yes,US2014-3270
Yes,US2013-9790
Yes,US2014-8340
Yes,US2013-8790
Yes,US2012-9190
Yes,US2014-5530
Yes,US2014-9500
Yes,US2012-290
Yes,US2012-2300
Yes,US2014-3430
Yes,US2014-3920
Yes,US2013-6920
Yes,US2014-9090
Yes,US2014-2850
Yes,US2012-6890
Yes,US2013-7840
Yes,US2013-5570
Yes,US2011-1110
Yes,US2013-2190
Yes,US2013-1360
Yes,US2011-8640
Yes,US2013-9860
Yes,US2014-4850
Yes,US2011-5090
Yes,US2012-9820
Yes,US2012-6250
Yes,US2014-8590
Yes,US2011-2380
Yes,US2011-7720
Yes,US2014-2120
Yes,US2014-3320
Yes,US2011-3710
Yes,US2014-9020
Yes,US2014-6670
Yes,US2012-3500
Yes,US2014-4760
Yes,US2014-3140
Yes,US2012-1090
Yes,US2014-8420
Yes,US2011-7110
Yes,US2011-7750
Yes,US2012-3160
Yes,US2013-7850
Yes,US2013-5050
Yes,US2013-5610
Yes,US2011-6010
Yes,US2013-2640
Yes,US2014-8120
Yes,US2011-9000
Yes,US2014-8980
Yes,US2012-2860
Yes,US2014-9830
Yes,US2011-7470
Yes,US2012-620
Yes,US2014-3560
Yes,US2011-780
Yes,US2011-8010
Yes,US2012-3220
Yes,US2012-7780
Yes,US2014-3300
Yes,US2013-820
Yes,US2013-5580
Yes,US2013-980
Yes,US2014-4410
Yes,US2013-7110
Yes,US2012-7540
Yes,US2011-20
Yes,US2013-1910
Yes,US2011-2640
Yes,US2014-5750
Yes,US2011-8190
Yes,US2011-9050
Yes,US2014-5480
Yes,US2012-6930
Yes,US2011-5770
Yes,US2014-6540
Yes,US2013-3340
Yes,US2014-9560
Yes,US2014-6450
Yes,US2012-4430
Yes,US2014-8290
Yes,US2011-8680
Yes,US2014-2470
Yes,US2013-620
Yes,US2013-3000
Yes,US2013-2040
Yes,US2013-1180
Yes,US2013-8130
Yes,US2014-2520
Yes,US2011-3240
Yes,US2014-4490
Yes,US2013-5910
Yes,US2013-350
Yes,US2011-4190
Yes,US2012-1470
Yes,US2011-1820
Yes,US2012-5790
Yes,US2012-2370
Yes,US2012-3470
Yes,US2013-5590
Yes,US2013-7860
Yes,US2013-4210
Yes,US2013-750
Yes,US2014-8900
Yes,US2014-6820
Yes,US2014-700
Yes,US2011-2020
Yes,US2014-1710
Yes,US2013-7720
Yes,US2013-3080
Yes,US2014-1700
Yes,US2013-5760
Yes,US2011-8250
Yes,US2012-7150
Yes,US2011-5590
Yes,US2013-1530
Yes,US2012-9440
Yes,US2011-7780
Yes,US2012-7490
Yes,US2014-2480
Yes,US2013-6160
Yes,US2011-7250
Yes,US2014-9850
Yes,US2012-4860
Yes,US2014-900
Yes,US2013-5620
Yes,US2012-6530
Yes,US2014-7710
Yes,US2011-6560
Yes,US2014-5780
Yes,US2013-4320
Yes,US2013-5460
Yes,US2012-8420
Yes,US2014-3620
Yes,US2011-850
Yes,US2014-6350
Yes,US2014-8350
Yes,US2014-3900
Yes,US2012-6970
Yes,US2011-210
Yes,US2014-8620
Yes,US2013-2680
Yes,US2012-4540
Yes,US2012-3940
Yes,US2011-7580
Yes,US2012-6060
Yes,US2012-8820
Yes,US2012-9090
Yes,US2014-7940
Yes,US2012-5580
Yes,US2011-6400
Yes,US2011-700
Yes,US2013-8690
Yes,US2014-1270
Yes,US2013-9530
Yes,US2014-2070
Yes,US2012-3380
Yes,US2012-7800
Yes,US2011-4100
Yes,US2012-7690
Yes,US2012-5800
Yes,US2014-6420
Yes,US2013-1310
Yes,US2011-5800
Yes,US2014-4120
Yes,US2011-5750
Yes,US2011-750
Yes,US2012-7600
Yes,US2011-2250
Yes,US2012-2950
Yes,US2013-8040
Yes,US2014-1780
Yes,US2014-7100
Yes,US2012-5880
Yes,US2013-6140
Yes,US2014-7720
Yes,US2013-2220
Yes,US2013-6490
Yes,US2013-1020
Yes,US2014-6480
Yes,US2014-5120
Yes,US2014-7930
Yes,US2011-3120
Yes,US2012-300
Yes,US2014-5990
Yes,US2012-9740
Yes,US2013-1930
Yes,US2014-7170
Yes,US2012-6020
Yes,US2011-5980
Yes,US2013-4410
Yes,US2011-4720
Yes,US2012-2260
Yes,US2012-5780
Yes,US2014-7050
Yes,US2011-7260
Yes,US2013-710
Yes,US2012-4660
Yes,US2011-8290
Yes,US2012-6920
Yes,US2013-690
Yes,US2011-1870
Yes,US2014-6800
Yes,US2012-5930
Yes,US2012-2000
Yes,US2014-4480
Yes,US2013-9460
Yes,US2013-1410
Yes,US2011-730
Yes,US2011-9730
Yes,US2014-8330
Yes,US2013-450
Yes,US2014-2350
Yes,US2013-10000
Yes,US2014-8020
Yes,US2012-4220
Yes,US2011-8020
Yes,US2013-9510
Yes,US2012-5900
Yes,US2012-9700
Yes,US2013-4380
Yes,US2013-2860
Yes,US2012-4120
Yes,US2014-1480
Yes,US2012-7080
Yes,US2014-3520
Yes,US2011-4240
Yes,US2014-3830
Yes,US2011-5080
Yes,US2011-9530
Yes,US2012-4010
Yes,US2012-50
Yes,US2013-1390
Yes,US2011-5530
Yes,US2011-7590
Yes,US2011-7010
Yes,US2011-5550
Yes,US2011-2300
Yes,US2011-1030
Yes,US2013-2500
Yes,US2014-940
Yes,US2011-6710
Yes,US2012-3110
Yes,US2014-5190
Yes,US2013-6650
Yes,US2013-6810
Yes,US2012-200
Yes,US2011-4690
Yes,US2014-4690
Yes,US2013-6130
Yes,US2011-7900
Yes,US2013-5410
Yes,US2011-7030
Yes,US2012-3530
Yes,US2012-6120
Yes,US2013-1740
Yes,US2012-1640
Yes,US2012-8770
Yes,US2012-2150
Yes,US2014-2910
Yes,US2011-1330
Yes,US2014-7700
Yes,US2012-7830
Yes,US2012-9490
Yes,US2013-8910
Yes,US2012-9930
Yes,US2012-3820
Yes,US2013-3880
Yes,US2011-9140
Yes,US2012-8790
Yes,US2013-1210
Yes,US2011-4460
Yes,US2014-2030
Yes,US2012-3000
Yes,US2011-1640
Yes,US2013-370
Yes,US2012-1190
Yes,US2011-9080
Yes,US2012-2050
Yes,US2014-2320
Yes,US2012-3700
Yes,US2011-380
Yes,US2011-5400
Yes,US2011-6200
Yes,US2011-2990
Yes,US2012-8090
Yes,US2014-9530
Yes,US2013-1160
Yes,US2013-9630
Yes,US2011-5520
Yes,US2012-8500
Yes,US2014-2970
Yes,US2014-5070
Yes,US2014-9310
Yes,US2012-3740
Yes,US2013-230
Yes,US2011-9090
Yes,US2012-1000
Yes,US2014-7240
Yes,US2013-1030
Yes,US2013-6480
Yes,US2012-8040
Yes,US2013-4560
Yes,US2013-3020
Yes,US2012-4170
Yes,US2013-5160
Yes,US2014-3950
Yes,US2012-6210
Yes,US2013-6530
Yes,US2014-9490
Yes,US2014-330
Yes,US2012-2710
Yes,US2011-1140
Yes,US2013-1470
Yes,US2013-1280
Yes,US2014-9970
Yes,US2012-4360
Yes,US2014-7620
Yes,US2014-9580
Yes,US2013-8680
Yes,US2011-1530
Yes,US2013-5700
Yes,US2011-6750
Yes,US2012-2200
Yes,US2014-1630
Yes,US2014-1010
Yes,US2013-5100
Yes,US2012-9540
Yes,US2012-5210
Yes,US2014-8370
Yes,US2013-8110
Yes,US2013-80
Yes,US2011-7730
Yes,US2013-6080
Yes,US2014-1920
Yes,US2011-9930
Yes,US2011-2080
Yes,US2014-4950
Yes,US2011-5670
Yes,US2014-5800
Yes,US2013-4910
Yes,US2013-7420
Yes,US2012-640
Yes,US2012-4030
Yes,US2013-4780
Yes,US2014-730
Yes,US2012-8650
Yes,US2013-6250
Yes,US2011-9440
Yes,US2014-9720
Yes,US2013-7470
Yes,US2013-2180
Yes,US2014-5220
Yes,US2014-6370
Yes,US2014-360
Yes,US2011-6040
Yes,US2014-9800
Yes,US2012-1180
Yes,US2011-660
Yes,US2011-6870
Yes,US2011-1130
Yes,US2014-9810
Yes,US2014-6340
Yes,US2014-1590
Yes,US2011-3360
Yes,US2014-8040
Yes,US2013-2140
Yes,US2013-1230
Yes,US2014-7670
Yes,US2013-9840
Yes,US2014-7820
Yes,US2011-2270
Yes,US2013-2400
Yes,US2012-7990
Yes,US2012-4880
Yes,US2014-9050
Yes,US2013-0
Yes,US2014-6550
Yes,US2013-4340
Yes,US2013-8440
Yes,US2011-5190
Yes,US2012-5480
Yes,US2014-2930
Yes,US2014-220
Yes,US2012-680
Yes,US2011-6450
Yes,US2012-5990
Yes,US2013-2100
Yes,US2014-3220
Yes,US2014-2230
Yes,US2014-1050
Yes,US2012-9300
Yes,US2012-6680
Yes,US2014-6710
Yes,US2011-450
Yes,US2012-7880
Yes,US2012-2840
Yes,US2014-0
Yes,US2011-7670
Yes,US2013-7410
Yes,US2012-5760
Yes,US2014-7550
Yes,US2014-8550
Yes,US2014-3940
Yes,US2012-8390
Yes,US2012-4210
Yes,US2014-8600
Yes,US2014-7730
Yes,US2013-4200
Yes,US2014-830
Yes,US2013-7160
Yes,US2014-3770
Yes,US2014-6170
Yes,US2011-6690
Yes,US2014-420
Yes,US2014-6470
Yes,US2012-9210
Yes,US2014-1220
Yes,US2013-800
Yes,US2011-4090
Yes,US2014-4000
Yes,US2014-8060
Yes,US2011-3690
Yes,US2013-6660
Yes,US2011-7100
Yes,US2014-4310
Yes,US2013-5860
Yes,US2014-4520
Yes,US2011-7990
Yes,US2014-6460
Yes,US2013-6640
Yes,US2014-1580
Yes,US2014-9400
Yes,US2014-650
Yes,US2014-6770
Yes,US2014-4720
Yes,US2012-8370
Yes,US2013-7560
Yes,US2011-5470
Yes,US2012-870
Yes,US2014-760
Yes,US2014-2240
Yes,US2011-3020
Yes,US2012-9520
Yes,US2013-9580
Yes,US2014-170
Yes,US2014-8510
Yes,US2012-2480
Yes,US2012-4640
Yes,US2014-5180
Yes,US2013-870
Yes,US2013-850
Yes,US2014-5100
Yes,US2014-5380
Yes,US2013-3850
Yes,US2012-10
Yes,US2014-9700
Yes,US2014-7250
Yes,US2011-710
Yes,US2012-9940
Yes,US2012-6850
Yes,US2013-4460
Yes,US2012-2220
Yes,US2013-2690
Yes,US2013-4030
Yes,US2014-4970
Yes,US2012-3340
Yes,US2011-820
Yes,US2011-2680
Yes,US2013-3960
Yes,US2013-3560
Yes,US2014-5890
Yes,US2012-9320
Yes,US2013-4660
Yes,US2013-2360
Yes,US2013-2480
Yes,US2011-8960
Yes,US2013-4870
Yes,US2012-2620
Yes,US2014-7140
Yes,US2013-7690
Yes,US2011-4440
Yes,US2012-9420
Yes,US2013-5530
Yes,US2011-4080
Yes,US2014-9610
Yes,US2011-1940
Yes,US2013-4550
Yes,US2014-4780
Yes,US2012-4400
Yes,US2013-5970
Yes,US2014-7070
Yes,US2014-8750
Yes,US2012-4520
Yes,US2014-1260
Yes,US2013-6420
Yes,US2014-4430
Yes,US2013-8750
Yes,US2014-4290
Yes,US2011-3300
Yes,US2014-1530
Yes,US2011-3600
Yes,US2014-9790
Yes,US2012-5340
Yes,US2014-4330
Yes,US2011-260
Yes,US2014-4580
Yes,US2011-510
Yes,US2011-9620
Yes,US2014-810
Yes,US2013-6610
Yes,US2011-9630
Yes,US2013-8080
Yes,US2014-1320
Yes,US2014-5690
Yes,US2013-3640
Yes,US2012-7320
Yes,US2013-1630
Yes,US2014-9760
Yes,US2013-2700
Yes,US2014-4090
Yes,US2013-8120
Yes,US2014-1410
Yes,US2014-1450
Yes,US2014-8050
Yes,US2013-8400
Yes,US2012-30
Yes,US2014-3970
Yes,US2014-6430
Yes,US2012-5030
Yes,US2011-9850
Yes,US2013-9850
Yes,US2013-2530
Yes,US2013-2410
Yes,US2011-4750
Yes,US2013-1810
Yes,US2013-790
Yes,US2011-2030
Yes,US2012-6560
Yes,US2011-1150
Yes,US2011-3560
Yes,US2014-2010
Yes,US2012-8660
Yes,US2011-9350
Yes,US2014-6930
Yes,US2014-7830
Yes,US2014-1900
Yes,US2014-7220
Yes,US2014-2210
Yes,US2012-5860
Yes,US2011-140
Yes,US2011-6860
Yes,US2014-410
Yes,US2013-250
Yes,US2013-4080
Yes,US2011-4710
Yes,US2011-2420
Yes,US2013-930
Yes,US2014-9030
Yes,US2014-5230
Yes,US2012-3840
Yes,US2012-1040
Yes,US2014-6180
Yes,US2014-9860
Yes,US2014-3820
Yes,US2011-8270
Yes,US2013-2990
Yes,US2014-5420
Yes,US2013-5000
Yes,US2014-3780
Yes,US2013-7510
Yes,US2012-5130
Yes,US2013-8190
Yes,US2012-2430
Yes,US2012-2310
Yes,US2011-2950
Yes,US2013-650
Yes,US2012-9150
Yes,US2012-5040
Yes,US2011-6590
Yes,US2012-7220
Yes,US2013-9570
Yes,US2012-6590
Yes,US2014-3350
Yes,US2011-4000
Yes,US2013-9960
Yes,US2014-9740
Yes,US2012-4160
Yes,US2013-860
Yes,US2012-5950
Yes,US2012-2780
Yes,US2013-7040
Yes,US2014-2050
Yes,US2014-6300
Yes,US2011-8470
Yes,US2013-4170
Yes,US2011-7970
Yes,US2011-8510
Yes,US2013-2130
Yes,US2013-2840
Yes,US2014-6980
Yes,US2011-3780
Yes,US2014-6290
Yes,US2011-3820
Yes,US2013-1220
Yes,US2014-8400
Yes,US2014-6900
Yes,US2011-9230
Yes,US2011-6540
Yes,US2013-60
Yes,US2013-3590
Yes,US2013-8630
Yes,US2012-8610
Yes,US2014-10000
Yes,US2013-4330
Yes,US2014-2420
Yes,US2012-1280
Yes,US2011-190
Yes,US2011-5500
Yes,US2012-9990
Yes,US2014-3740
Yes,US2014-9250
Yes,US2011-8420
Yes,US2012-8280
Yes,US2011-7060
Yes,US2011-340
Yes,US2011-1800
Yes,US2014-8840
Yes,US2013-9560
Yes,US2011-3410
Yes,US2014-1210
Yes,US2012-930
Yes,US2014-120
Yes,US2013-9410
Yes,US2013-4310
Yes,US2014-5390
Yes,US2012-1620
Yes,US2012-7170
Yes,US2012-1770
Yes,US2014-1440
Yes,US2014-3020
Yes,US2012-6960
Yes,US2014-4800
Yes,US2011-6650
Yes,US2014-590
Yes,US2012-1010
Yes,US2011-6580
Yes,US2012-830
Yes,US2011-2800
Yes,US2011-3970
Yes,US2013-8200
Yes,US2014-7420
Yes,US2011-3140
Yes,US2013-3510
Yes,US2013-5540
Yes,US2014-2580
Yes,US2012-8310
Yes,US2011-9480
Yes,US2013-3740
Yes,US2011-5200
Yes,US2014-5550
Yes,US2014-9220
Yes,US2013-1610
Yes,US2012-5320
Yes,US2013-5740
Yes,US2013-9310
Yes,US2014-740
Yes,US2014-7090
Yes,US2014-2890
Yes,US2013-9980
Yes,US2014-6070
Yes,US2013-7150
Yes,US2014-4080
Yes,US2014-4400
Yes,US2014-870
Yes,US2012-7380
Yes,US2014-2220
Yes,US2011-8370
Yes,US2012-2730
Yes,US2012-150
Yes,US2012-7390
Yes,US2011-5010
Yes,US2013-320
Yes,US2013-4940
Yes,US2014-5110
Yes,US2013-270
Yes,US2014-200
Yes,US2013-3420
Yes,US2013-5300
Yes,US2013-3830
Yes,US2014-1380
Yes,US2013-1540
Yes,US2014-9690
Yes,US2013-9950
Yes,US2013-9080
Yes,US2012-9500
Yes,US2014-1540
Yes,US2013-1320
Yes,US2011-800
Yes,US2012-390
Yes,US2012-70
Yes,US2014-6730
Yes,US2014-690
Yes,US2013-2910
Yes,US2013-2770
Yes,US2013-6550
Yes,US2013-4250
Yes,US2014-920
Yes,US2014-9280
Yes,US2012-650
Yes,US2014-6310
Yes,US2014-6390
Yes,US2013-7880
Yes,US2013-5070
Yes,US2012-1170
Yes,US2011-4150
Yes,US2014-6760
Yes,US2011-2970
Yes,US2012-2990
Yes,US2013-6910
Yes,US2014-3110
Yes,US2013-6710
Yes,US2013-9890
Yes,US2014-6160
Yes,US2012-4920
Yes,US2014-3490
Yes,US2014-3840
Yes,US2014-1310
Yes,US2014-4280
Yes,US2014-9300
Yes,US2014-8740
Yes,US2013-7310
Yes,US2012-1930
Yes,US2012-240
Yes,US2012-6200
Yes,US2014-8820
Yes,US2011-9410
Yes,US2014-4670
Yes,US2011-620
Yes,US2013-9350
Yes,US2011-1890
Yes,US2014-7310
Yes,US2013-1170
Yes,US2014-4270
Yes,US2011-4370
Yes,US2013-4840
Yes,US2012-6350
Yes,US2014-3100
Yes,US2013-7120
Yes,US2013-6330
Yes,US2012-3920
Yes,US2013-8780
Yes,US2011-3440
Yes,US2012-3140
Yes,US2013-130
Yes,US2012-5050
Yes,US2011-4300
Yes,US2011-8490
Yes,US2011-670
Yes,US2011-2340
Yes,US2012-9970
Yes,US2011-840
Yes,US2014-8670
Yes,US2013-330
Yes,US2014-2760
Yes,US2011-4610
Yes,US2011-3210
Yes,US2014-160
Yes,US2013-3360
Yes,US2012-4490
Yes,US2011-3060
Yes,US2014-5860
Yes,US2014-4200
Yes,US2013-2720
Yes,US2013-8520
Yes,US2012-490
Yes,US2011-8670
Yes,US2013-9800
Yes,US2014-3990
Yes,US2014-480
Yes,US2013-8170
Yes,US2014-4560
Yes,US2011-6970
Yes,US2014-9990
Yes,US2014-4220
Yes,US2012-1910
Yes,US2013-7280
Yes,US2013-6200
Yes,US2012-2250
Yes,US2011-1180
Yes,US2011-8750
Yes,US2013-7100
Yes,US2014-2650
Yes,US2013-1600
Yes,US2011-7290
Yes,US2013-5500
Yes,US2011-250
Yes,US2012-1460
Yes,US2012-4690
Yes,US2012-8750
Yes,US2013-5180
Yes,US2011-7440
Yes,US2011-3430
Yes,US2014-2370
Yes,US2014-9650
Yes,US2012-1490
Yes,US2012-4890
Yes,US2011-50
Yes,US2012-1570
Yes,US2013-8990
Yes,US2014-3050
Yes,US2013-6020
Yes,US2014-8650
Yes,US2011-3280
Yes,US2014-9390
Yes,US2011-5450
Yes,US2014-7180
Yes,US2012-1480
Yes,US2013-5630
Yes,US2012-7300
Yes,US2012-1870
Yes,US2014-2180
Yes,US2011-3940
Yes,US2013-530
Yes,US2014-9470
Yes,US2012-5830
Yes,US2012-3120
Yes,US2013-4290
Yes,US2014-4160
Yes,US2013-1880
Yes,US2012-4480
Yes,US2014-9260
Yes,US2012-3010
Yes,US2013-2950
Yes,US2011-6810
Yes,US2014-9100
Yes,US2012-5500
Yes,US2013-3390
Yes,US2011-4420
Yes,US2014-1910
Yes,US2012-460
Yes,US2013-9620
Yes,US2014-1300
Yes,US2014-4030
Yes,US2012-320
Yes,US2011-2880
Yes,US2013-8640
Yes,US2013-4950
Yes,US2012-1120
Yes,US2012-8160
Yes,US2014-1680
Yes,US2011-4680
Yes,US2013-7570
Yes,US2012-1410
Yes,US2013-1130
Yes,US2012-270
Yes,US2014-4680
Yes,US2013-1730
Yes,US2014-6870
Yes,US2013-1970
Yes,US2011-1020
Yes,US2013-4860
Yes,US2014-4740
Yes,US2012-4320
Yes,US2014-230
Yes,US2012-1750
Yes,US2011-8730
Yes,US2011-3390
Yes,US2012-3510
Yes,US2014-8080
Yes,US2014-6050
Yes,US2012-7970
Yes,US2012-0
Yes,US2013-4120
Yes,US2014-8910
Yes,US2012-8530
Yes,US2013-9880
Yes,US2012-9790
Yes,US2013-7650
Yes,US2014-1620
Yes,US2012-4130
Yes,US2011-1190
