Returned,Order ID
Yes,US2014-6960
Yes,US2011-6640
Yes,US2012-9800
Yes,US2014-3260
Yes,US2012-2790
Yes,US2013-3530
Yes,US2012-1060
Yes,US2014-1490
Yes,US2012-5550
Yes,US2013-4790
Yes,US2011-3340
Yes,US2012-4140
Yes,US2012-3330
Yes,US2011-9250
Yes,US2014-1960
Yes,US2013-9010
Yes,US2011-5020
Yes,US2014-6790
Yes,US2014-5660
Yes,US2014-7740
Yes,US2013-9090
Yes,US2011-7880
Yes,US2012-3100
Yes,US2014-1200
Yes,US2012-3240
Yes,US2013-1000
Yes,US2012-510
Yes,US2011-6420
Yes,US2014-8180
Yes,US2014-9960
Yes,US2012-2960
Yes,US2011-3950
Yes,US2013-3260
Yes,US2011-2260
Yes,US2011-7680
Yes,US2013-4760
Yes,US2014-6840
Yes,US2013-9450
Yes,US2014-3590
Yes,US2014-6970
Yes,US2012-8990
Yes,US2011-6490
Yes,US2012-9470
Yes,US2013-6560
Yes,US2014-6920
Yes,US2014-460
Yes,US2013-600
Yes,US2013-3350
Yes,US2011-4630
Yes,US2012-3550
Yes,US2011-3770
Yes,US2011-100
Yes,US2012-1200
Yes,US2011-7140
Yes,US2014-8830
Yes,US2013-5560
Yes,US2013-3200
Yes,US2011-7200
Yes,US2012-3370
Yes,US2013-900
Yes,US2011-430
Yes,US2013-3600
Yes,US2011-9900
Yes,US2012-6980
Yes,US2014-1730
Yes,US2012-1050
Yes,US2014-9540
Yes,US2011-4580
Yes,US2011-120
Yes,US2012-6580
Yes,US2014-5030
Yes,US2014-5850
Yes,US2012-4670
Yes,US2013-480
Yes,US2013-9040
Yes,US2012-3560
Yes,US2011-6770
Yes,US2011-5950
Yes,US2014-680
Yes,US2012-3410
Yes,US2012-8970
Yes,US2012-6720
Yes,US2014-7890
Yes,US2011-1670
Yes,US2011-790
Yes,US2014-6100
Yes,US2013-140
Yes,US2011-490
Yes,US2014-3180
Yes,US2014-800
Yes,US2011-6620
Yes,US2012-890
Yes,US2011-6680
Yes,US2012-2190
Yes,US2014-1800
Yes,US2011-3350
Yes,US2014-5950
Yes,US2011-310
Yes,US2013-7230
Yes,US2013-8070
Yes,US2012-2270
Yes,US2013-2510
Yes,US2014-5300
Yes,US2013-8870
Yes,US2014-7480
Yes,US2013-2150
Yes,US2012-2210
Yes,US2012-6500
Yes,US2012-7820
Yes,US2011-360
Yes,US2014-6560
Yes,US2013-180
Yes,US2013-9030
Yes,US2011-4760
Yes,US2014-1660
Yes,US2013-4480
Yes,US2014-9130
Yes,US2013-1060
Yes,US2013-7930
Yes,US2014-790
Yes,US2014-8300
Yes,US2013-5680
Yes,US2013-4570
Yes,US2014-840
Yes,US2013-3290
Yes,US2011-6320
Yes,US2012-4950
Yes,US2014-8960
Yes,US2012-9670
Yes,US2014-1600
Yes,US2012-9280
Yes,US2014-3870
Yes,US2011-2580
Yes,US2011-2310
Yes,US2014-1070
Yes,US2011-270
Yes,US2014-4180
Yes,US2012-5310
Yes,US2014-4340
Yes,US2014-7030
Yes,US2013-1660
Yes,US2014-6380
Yes,US2014-8320
Yes,US2012-3210
Yes,US2011-1550
Yes,US2012-7750
Yes,US2011-4020
Yes,US2014-6750
Yes,US2011-5560
Yes,US2012-6780
Yes,US2012-1590
Yes,US2013-9920
Yes,US2011-1450
Yes,US2011-8850
Yes,US2012-8590
Yes,US2014-5010
Yes,US2011-9780
Yes,US2012-1820
Yes,US2013-5600
Yes,US2014-7590
Yes,US2014-6990
Yes,US2011-5700
Yes,US2011-2160
Yes,US2014-2020
Yes,US2014-7270
Yes,US2012-1660
Yes,US2012-430
Yes,US2011-5180
Yes,US2011-6830
Yes,US2013-8410
Yes,US2013-8880
Yes,US2011-1620
Yes,US2012-8980
Yes,US2012-1440
Yes,US2011-4220
Yes,US2012-2460
Yes,US2013-1340
Yes,US2014-4010
Yes,US2012-4730
Yes,US2013-2610
Yes,US2013-8850
Yes,US2013-3190
Yes,US2013-2010
Yes,US2012-20
Yes,US2011-3270
Yes,US2013-9160
Yes,US2011-3990
Yes,US2014-8530
Yes,US2013-920
Yes,US2013-2580
Yes,US2014-9440
Yes,US2014-6660
Yes,US2014-6580
Yes,US2012-3860
Yes,US2013-200
Yes,US2013-6360
Yes,US2014-5540
Yes,US2012-1780
Yes,US2013-4440
Yes,US2011-1270
Yes,US2014-7440
Yes,US2014-7210
Yes,US2011-8240
Yes,US2011-3570
Yes,US2014-4150
Yes,US2011-6960
Yes,US2012-4510
Yes,US2013-1440
Yes,US2014-7300
Yes,US2014-2820
Yes,US2013-3130
Yes,US2014-8770
Yes,US2014-3650
Yes,US2013-3750
Yes,US2013-400
Yes,US2014-5050
Yes,US2014-8110
Yes,US2012-2640
Yes,US2011-6410
Yes,US2014-8730
Yes,US2013-9640
Yes,US2013-1110
Yes,US2013-7430
Yes,US2013-9230
Yes,US2013-3720
Yes,US2011-2360
Yes,US2011-3810
Yes,US2013-2800
Yes,US2011-3490
Yes,US2013-7130
Yes,US2013-6060
Yes,US2012-1670
Yes,US2011-9260
Yes,US2011-1900
Yes,US2013-6110
Yes,US2014-4530
Yes,US2013-6870
Yes,US2012-9600
Yes,US2012-5160
Yes,US2013-1690
Yes,US2012-7340
Yes,US2012-9830
Yes,US2012-3730
Yes,US2014-8210
Yes,US2013-8620
Yes,US2012-3020
Yes,US2013-7670
Yes,US2012-5140
Yes,US2013-5470
Yes,US2012-6140
Yes,US2013-9830
Yes,US2011-4540
Yes,US2014-1750
Yes,US2012-9160
Yes,US2011-6850
Yes,US2012-100
Yes,US2012-5620
Yes,US2011-1570
Yes,US2014-2680
Yes,US2014-1890
Yes,US2011-9380
Yes,US2012-9480
Yes,US2014-960
Yes,US2012-40
Yes,US2014-3880
Yes,US2013-6000
Yes,US2014-9520
Yes,US2012-2110
Yes,US2014-6410
Yes,US2011-8310
Yes,US2011-6100
Yes,US2013-1780
Yes,US2011-2220
Yes,US2012-5250
Yes,US2013-2200
Yes,US2012-790
Yes,US2012-2160
Yes,US2012-7910
Yes,US2012-7000
Yes,US2011-740
Yes,US2013-2030
Yes,US2011-8990
Yes,US2012-6690
Yes,US2014-5400
Yes,US2013-5110
Yes,US2012-7980
Yes,US2014-3470
Yes,US2012-350
Yes,US2013-8470
Yes,US2012-7140
Yes,US2013-2710
Yes,US2013-4700
Yes,US2013-4890
Yes,US2014-3250
Yes,US2011-8180
Yes,US2013-2120
Yes,US2014-8200
Yes,US2013-3760
Yes,US2011-9340
Yes,US2014-7650
Yes,US2013-9280
Yes,US2012-5120
Yes,US2011-4040
Yes,US2012-2060
Yes,US2012-1160
Yes,US2013-1100
Yes,US2011-2470
Yes,US2014-6320
Yes,US2012-7610
Yes,US2014-8880
Yes,US2013-3370
Yes,US2012-8890
Yes,US2014-3570
Yes,US2012-9410
Yes,US2013-2650
Yes,US2012-5450
Yes,US2014-5980
Yes,US2013-2570
Yes,US2014-3010
Yes,US2013-1980
Yes,US2012-3980
Yes,US2014-1470
Yes,US2012-2750
Yes,US2012-3720
Yes,US2014-4440
Yes,US2013-840
Yes,US2013-5340
Yes,US2013-6070
Yes,US2013-2450
Yes,US2012-2610
Yes,US2011-9110
Yes,US2013-7220
Yes,US2011-2450
Yes,US2012-8730
Yes,US2011-40
Yes,US2014-8390
Yes,US2011-170
Yes,US2014-3310
Yes,US2011-8430
Yes,US2013-7710
Yes,US2014-6700
Yes,US2014-210
Yes,US2011-7330
Yes,US2014-4070
Yes,US2012-2470
Yes,US2013-9970
Yes,US2012-6650
Yes,US2013-9870
Yes,US2013-2160
Yes,US2012-3400
Yes,US2014-6190
Yes,US2014-9510
Yes,US2013-3730
Yes,US2014-3510
Yes,US2012-6360
Yes,US2011-4860
Yes,US2011-3200
Yes,US2013-3300
Yes,US2014-5200
Yes,US2014-7400
Yes,US2013-4520
Yes,US2012-9560
Yes,US2011-4790
Yes,US2014-4390
Yes,US2012-3850
Yes,US2011-4550
Yes,US2013-1070
Yes,US2013-8530
Yes,US2011-8110
Yes,US2013-3630
Yes,US2013-1770
Yes,US2013-7000
Yes,US2012-1450
Yes,US2014-2440
Yes,US2012-6810
Yes,US2013-580
Yes,US2012-8700
Yes,US2012-8680
Yes,US2013-7810
Yes,US2011-5630
Yes,US2012-8240
Yes,US2014-9640
Yes,US2013-5290
Yes,US2011-650
Yes,US2011-8210
Yes,US2012-6450
Yes,US2014-1740
Yes,US2012-1720
Yes,US2011-3680
Yes,US2013-5020
Yes,US2013-2780
Yes,US2011-7380
Yes,US2012-8900
Yes,US2012-3080
Yes,US2014-7280
Yes,US2013-1500
Yes,US2014-3160
Yes,US2013-1480
Yes,US2011-4030
Yes,US2011-90
Yes,US2012-9750
Yes,US2011-8130
Yes,US2013-2590
Yes,US2012-3950
Yes,US2013-9430
Yes,US2014-6270
Yes,US2014-4020
Yes,US2012-190
Yes,US2014-1570
Yes,US2012-4570
Yes,US2014-1190
Yes,US2012-5230
Yes,US2011-6570
Yes,US2012-7250
Yes,US2014-7390
Yes,US2012-520
Yes,US2013-6850
Yes,US2014-3150
Yes,US2013-1350
Yes,US2012-3670
Yes,US2011-7930
Yes,US2014-370
Yes,US2011-7980
Yes,US2011-2940
Yes,US2014-7770
Yes,US2013-9180
Yes,US2013-8300
Yes,US2013-9290
Yes,US2014-7660
Yes,US2014-7060
Yes,US2013-2880
Yes,US2014-8870
Yes,US2012-1950
Yes,US2013-9500
Yes,US2012-7520
Yes,US2014-5440
Yes,US2013-3010
Yes,US2012-4940
Yes,US2012-8020
Yes,US2012-6640
Yes,US2013-5710
Yes,US2013-2740
Yes,US2012-2030
Yes,US2013-3700
Yes,US2012-7730
Yes,US2014-3890
Yes,US2014-300
Yes,US2013-1430
Yes,US2012-2930
Yes,US2011-5650
Yes,US2011-6310
Yes,US2013-6840
Yes,US2011-9240
Yes,US2011-6170
Yes,US2014-3640
Yes,US2014-3670
Yes,US2013-2390
Yes,US2012-4760
Yes,US2012-690
Yes,US2014-2800
Yes,US2014-540
Yes,US2011-7490
Yes,US2012-3310
Yes,US2011-4290
Yes,US2014-3330
Yes,US2012-1730
Yes,US2013-2850
Yes,US2012-590
Yes,US2013-7460
Yes,US2013-9930
Yes,US2012-9450
Yes,US2013-9220
Yes,US2014-6600
Yes,US2013-6340
Yes,US2014-4990
Yes,US2014-7970
Yes,US2012-3780
Yes,US2014-7980
Yes,US2014-3380
Yes,US2014-3660
Yes,US2012-5270
Yes,US2014-9150
Yes,US2011-8760
Yes,US2012-4770
Yes,US2012-7940
Yes,US2014-530
Yes,US2012-6100
Yes,US2012-9120
Yes,US2012-4800
Yes,US2014-8520
Yes,US2012-9650
Yes,US2013-8830
Yes,US2012-3230
Yes,US2013-2070
Yes,US2011-530
Yes,US2014-7350
Yes,US2014-7860
Yes,US2013-190
Yes,US2011-2330
Yes,US2014-1810
Yes,US2012-4650
Yes,US2014-4890
Yes,US2012-9610
Yes,US2014-3290
Yes,US2014-3960
Yes,US2013-7380
Yes,US2011-9390
Yes,US2011-4510
Yes,US2014-9730
Yes,US2011-3630
Yes,US2012-2090
Yes,US2011-8220
Yes,US2012-6420
Yes,US2014-5470
Yes,US2013-8650
Yes,US2013-4670
Yes,US2011-6700
Yes,US2012-9060
Yes,US2014-3980
Yes,US2011-2570
Yes,US2012-6280
Yes,US2014-5170
Yes,US2012-8860
Yes,US2014-7520
Yes,US2011-3880
Yes,US2013-6290
Yes,US2013-360
Yes,US2011-960
Yes,US2013-1920
Yes,US2012-9910
Yes,US2013-7980
Yes,US2013-9680
Yes,US2012-840
Yes,US2013-7750
Yes,US2014-5970
Yes,US2014-9750
Yes,US2014-770
Yes,US2012-8440
Yes,US2011-9300
Yes,US2014-4630
Yes,US2014-2430
Yes,US2014-6000
Yes,US2014-4190
Yes,US2013-6900
Yes,US2012-6950
Yes,US2014-340
Yes,US2013-7870
Yes,US2012-6990
Yes,US2013-8210
Yes,US2012-990
Yes,US2013-760
Yes,US2013-3550
Yes,US2011-7870
Yes,US2012-9240
Yes,US2014-9620
Yes,US2012-6030
Yes,US2012-3490
Yes,US2012-2360
Yes,US2012-8940
Yes,US2012-4260
Yes,US2011-6430
Yes,US2014-4500
Yes,US2013-3820
Yes,US2011-3370
Yes,US2012-7570
Yes,US2014-320
Yes,US2013-1520
Yes,US2011-7450
Yes,US2011-4010
Yes,US2012-9080
Yes,US2014-5730
Yes,US2014-2570
Yes,US2012-5640
Yes,US2012-8100
Yes,US2014-5310
Yes,US2011-1090
Yes,US2011-8170
Yes,US2013-8230
Yes,US2011-4640
Yes,US2012-3290
Yes,US2014-6090
Yes,US2011-5810
Yes,US2011-1470
Yes,US2011-7430
Yes,US2011-1100
Yes,US2011-3170
Yes,US2011-8950
Yes,US2011-2690
Yes,US2014-1250
Yes,US2012-3460
Yes,US2013-5330
Yes,US2014-4910
Yes,US2014-4550
Yes,US2011-3290
Yes,US2012-3790
Yes,US2013-9750
Yes,US2012-4080
Yes,US2013-9260
Yes,US2014-9670
Yes,US2011-2090
Yes,US2014-7330
Yes,US2011-9970
Yes,US2014-8220
Yes,US2011-1000
Yes,US2011-2860
Yes,US2012-9370
Yes,US2011-7950
Yes,US2012-5100
Yes,US2012-5960
Yes,US2011-1520
Yes,US2013-210
Yes,US2014-6280
Yes,US2014-1340
Yes,US2012-4110
Yes,US2011-8920
Yes,US2013-6010
Yes,US2013-7960
Yes,US2011-6230
Yes,US2013-1080
Yes,US2012-360
Yes,US2014-1130
Yes,US2011-4910
Yes,US2011-5970
Yes,US2013-1760
Yes,US2013-5450
Yes,US2013-8310
Yes,US2013-6970
Yes,US2014-7870
Yes,US2012-8800
Yes,US2014-1400
Yes,US2011-1860
Yes,US2013-5480
Yes,US2013-8710
Yes,US2011-5720
Yes,US2014-8230
Yes,US2013-5130
Yes,US2013-9170
Yes,US2013-5780
Yes,US2014-1030
Yes,US2014-4210
Yes,US2011-8940
Yes,US2011-2110
Yes,US2011-9420
Yes,US2013-1550
Yes,US2011-9700
Yes,US2014-7760
Yes,US2014-6690
Yes,US2011-4900
Yes,US2011-2590
Yes,US2014-4930
Yes,US2014-6780
Yes,US2011-1970
Yes,US2011-7230
Yes,US2011-3790
Yes,US2013-5550
Yes,US2013-8890
Yes,US2011-2440
Yes,US2013-7390
Yes,US2014-7600
Yes,US2014-9430
Yes,US2013-2870
Yes,US2014-1280
Yes,US2012-6000
Yes,US2012-2600
Yes,US2013-5370
Yes,US2014-450
Yes,US2013-3620
Yes,US2012-9350
Yes,US2011-8780
Yes,US2014-7920
Yes,US2011-1990
Yes,US2014-3630
Yes,US2012-5870
Yes,US2012-6010
Yes,US2012-4330
Yes,US2012-6750
Yes,US2014-5150
Yes,US2012-8030
Yes,US2013-3580
Yes,US2011-500
Yes,US2011-8770
Yes,US2014-2490
Yes,US2013-7020
Yes,US2014-280
Yes,US2013-9210
Yes,US2013-770
Yes,US2013-9820
Yes,US2013-170
Yes,US2013-5420
Yes,US2012-7890
Yes,US2014-4880
Yes,US2011-4590
Yes,US2014-1360
Yes,US2012-1700
Yes,US2013-6520
Yes,US2014-5330
Yes,US2012-7110
Yes,US2012-9780
Yes,US2012-630
Yes,US2014-7680
Yes,US2012-330
Yes,US2011-7830
Yes,US2012-9890
Yes,US2012-4720
Yes,US2011-280
Yes,US2012-4620
Yes,US2011-7160
Yes,US2013-6240
Yes,US2014-9070
Yes,US2013-1380
Yes,US2013-7550
Yes,US2013-3840
Yes,US2012-4450
Yes,US2013-40
Yes,US2014-930
Yes,US2014-3090
Yes,US2011-8540
Yes,US2014-2780
Yes,US2014-3790
Yes,US2011-3070
Yes,US2012-2920
Yes,US2014-8360
Yes,US2014-4170
Yes,US2013-6930
Yes,US2014-2960
Yes,US2012-9900
Yes,US2014-1640
Yes,US2012-3680
Yes,US2012-5520
Yes,US2012-4090
Yes,US2014-2290
Yes,US2014-6910
Yes,US2011-1120
Yes,US2011-3530
Yes,US2012-6900
Yes,US2011-3890
Yes,US2012-5570
Yes,US2011-3670
Yes,US2012-2670
Yes,US2014-1550
Yes,US2014-5460
Yes,US2013-3930
Yes,US2011-3650
Yes,US2012-9200
Yes,US2014-2360
Yes,US2011-1650
Yes,US2014-2390
Yes,US2011-1540
Yes,US2012-2540
Yes,US2014-6080
Yes,US2013-1400
Yes,US2014-5060
Yes,US2012-1360
Yes,US2014-6570
Yes,US2013-640
Yes,US2011-5760
Yes,US2013-540
Yes,US2013-280
Yes,US2011-3190
Yes,US2012-2380
Yes,US2013-6750
Yes,US2012-8230
Yes,US2012-5720
Yes,US2013-9650
Yes,US2013-720
Yes,US2014-9950
Yes,US2011-3740
Yes,US2013-7400
Yes,US2014-8660
Yes,US2013-6450
Yes,US2012-6470
Yes,US2014-1090
Yes,US2013-430
Yes,US2014-1790
Yes,US2013-9480
Yes,US2014-1100
Yes,US2014-2310
Yes,US2014-8380
Yes,US2013-2170
Yes,US2014-1980
Yes,US2014-3400
Yes,US2011-1780
Yes,US2014-2140
Yes,US2014-3280
Yes,US2013-4640
Yes,US2014-8140
Yes,US2013-8270
Yes,US2013-6690
Yes,US2012-1390
Yes,US2012-2290
Yes,US2012-7050
Yes,US2014-9980
Yes,US2013-5670
Yes,US2014-2950
Yes,US2012-5090
Yes,US2013-700
Yes,US2014-5570
Yes,US2014-3390
Yes,US2011-4660
Yes,US2014-8790
Yes,US2013-3870
Yes,US2014-6530
Yes,US2014-4900
Yes,US2013-6180
Yes,US2014-2400
Yes,US2012-4870
Yes,US2013-470
Yes,US2011-5570
Yes,US2012-4930
Yes,US2013-5200
Yes,US2012-3440
Yes,US2013-9730
Yes,US2012-9960
Yes,US2012-3770
Yes,US2014-9200
Yes,US2013-5210
Yes,US2014-3230
Yes,US2012-4280
Yes,US2014-7160
Yes,US2014-3060
Yes,US2013-7910
Yes,US2014-3930
Yes,US2012-9290
Yes,US2012-1290
Yes,US2014-6720
Yes,US2014-5350
Yes,US2014-4750
Yes,US2011-30
Yes,US2013-8220
Yes,US2013-9810
Yes,US2012-3450
Yes,US2013-890
Yes,US2013-3810
Yes,US2014-3610
Yes,US2012-2020
Yes,US2013-8930
Yes,US2013-8840
Yes,US2014-3860
Yes,US2014-3540
Yes,US2012-9020
Yes,US2011-6290
Yes,US2014-7840
Yes,US2012-7330
Yes,US2012-2070
Yes,US2013-5040
Yes,US2012-9640
Yes,US2014-7960
Yes,US2014-5830
Yes,US2013-7700
Yes,US2012-850
Yes,US2014-1770
Yes,US2011-5460
Yes,US2014-6440
Yes,US2013-3440
Yes,US2011-2670
Yes,US2011-3920
Yes,US2012-7770
Yes,US2012-7020
Yes,US2014-4840
Yes,US2013-4930
Yes,US2011-2000
Yes,US2011-7820
Yes,US2011-300
Yes,US2014-6250
Yes,US2011-110
Yes,US2012-5940
Yes,US2013-5520
Yes,US2014-8580
Yes,US2014-9370
Yes,US2014-5620
Yes,US2011-3520
Yes,US2012-5280
Yes,US2012-6730
Yes,US2013-830
Yes,US2013-3040
Yes,US2012-5170
Yes,US2012-600
Yes,US2011-10000
Yes,US2014-5670
Yes,US2014-7130
Yes,US2012-810
Yes,US2012-7580
Yes,US2014-8260
Yes,US2013-290
Yes,US2011-2040
Yes,US2012-4590
Yes,US2014-6510
Yes,US2012-6870
Yes,US2011-9010
Yes,US2014-3340
Yes,US2014-7490
Yes,US2012-8350
Yes,US2011-8090
Yes,US2012-3640
Yes,US2014-880
Yes,US2013-880
Yes,US2012-6430
Yes,US2012-9000
Yes,US2011-9550
Yes,US2013-6100
Yes,US2013-2520
Yes,US2014-7500
Yes,US2013-3570
Yes,US2012-7870
Yes,US2011-7240
Yes,US2012-6040
Yes,US2011-4400
Yes,US2013-3540
Yes,US2013-4360
Yes,US2012-60
Yes,US2013-3160
Yes,US2012-6830
Yes,US2012-4240
Yes,US2013-1890
Yes,US2012-7530
Yes,US2013-4180
Yes,US2014-5130
Yes,US2012-7290
Yes,US2011-9490
Yes,US2011-6090
Yes,US2012-2530
Yes,US2011-1440
Yes,US2012-5290
Yes,US2012-3540
Yes,US2012-9510
Yes,US2014-3810
Yes,US2013-810
Yes,US2011-8320
Yes,US2012-1830
Yes,US2011-5300
Yes,US2013-550
Yes,US2011-7610
Yes,US2013-2600
Yes,US2012-750
Yes,US2012-1130
Yes,US2014-8010
Yes,US2013-6950
Yes,US2012-7280
Yes,US2011-8520
Yes,US2014-9360
Yes,US2011-1290
Yes,US2013-2290
Yes,US2014-8070
Yes,US2011-8620
Yes,US2011-7500
Yes,US2014-7450
Yes,US2011-5320
Yes,US2013-2760
Yes,US2011-1050
Yes,US2013-5720
Yes,US2013-6050
Yes,US2013-7890
Yes,US2014-9170
Yes,US2013-2470
Yes,US2014-3450
Yes,US2011-1340
Yes,US2014-5260
Yes,US2014-5760
Yes,US2011-4600
Yes,US2013-5430
Yes,US2013-390
Yes,US2011-7630
Yes,US2012-2650
Yes,US2013-9340
Yes,US2014-3600
Yes,US2014-5020
Yes,US2014-8950
Yes,US2014-130
Yes,US2013-1640
Yes,US2012-8930
Yes,US2011-8980
Yes,US2014-2200
Yes,US2013-9390
Yes,US2014-9590
Yes,US2013-8980
Yes,US2014-2720
Yes,US2013-8180
Yes,US2011-4200
Yes,US2014-9920
Yes,US2013-2540
Yes,US2014-9570
Yes,US2013-9300
Yes,US2012-6380
Yes,US2014-3720
Yes,US2014-1840
Yes,US2014-1080
Yes,US2013-4110
Yes,US2013-4070
Yes,US2011-7740
Yes,US2013-5650
Yes,US2011-9770
Yes,US2014-6330
Yes,US2014-9060
Yes,US2012-4980
Yes,US2012-9980
Yes,US2012-9460
Yes,US2014-350
Yes,US2014-270
Yes,US2013-4300
Yes,US2014-8970
Yes,US2014-7380
Yes,US2014-970
